Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
22,0.000000,26896,0,26896,0.000000,0.006349,39.374668,157.498673,3.916016,1.000000,1.000000,4
22,1.000000,27167,267,26900,0.982810,0.006318,39.765672,158.280872,3.923034,1.000000,1.000000,4
22,5.000000,28266,1365,26901,4.829123,0.006192,41.369806,161.489116,3.963603,1.000000,1.000000,4
22,10.000000,29841,2939,26902,9.848866,0.006020,43.677637,166.104898,4.015491,1.000000,1.000000,4
22,25.000000,35830,8922,26908,24.912085,0.005446,52.440438,183.630596,4.218919,1.000000,1.000000,4
23,0.000000,26836,0,26836,0.000000,0.006387,39.144581,156.578324,5.000898,1.000000,1.000000,4
23,1.000000,27105,266,26839,0.981369,0.006355,39.532747,157.354848,5.011165,1.000000,1.000000,4
23,5.000000,28176,1337,26839,4.745173,0.006231,41.095301,160.479932,5.057242,1.000000,1.000000,4
23,10.000000,29771,2930,26841,9.841792,0.006056,43.418446,165.126367,5.126469,1.000000,1.000000,4
23,25.000000,35623,8775,26848,24.649805,0.005489,51.947053,182.183652,5.371301,1.000000,1.000000,4
24,0.000000,26897,0,26897,0.000000,0.006358,39.322180,157.288721,3.916016,1.000000,1.000000,4
24,1.000000,27167,266,26901,0.979129,0.006326,39.711087,158.066679,3.922986,1.000000,1.000000,4
24,5.000000,28269,1366,26903,4.832148,0.006200,41.319487,161.283573,3.963813,1.000000,1.000000,4
24,10.000000,29842,2937,26905,9.841834,0.006029,43.616255,165.877207,4.014492,1.000000,1.000000,4
24,25.000000,35826,8915,26911,24.895327,0.005454,52.357978,183.360700,4.218522,1.000000,1.000000,4
25,0.000000,26897,0,26897,0.000000,0.006358,39.322180,157.288721,3.916016,1.000000,1.000000,4
