Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
4,24h,0.004362,9.525971,229.276285,2.108689,0.784274,0.812248,2,112,29,83,29,34.939759,3360904.994141,607131.988281,21773.437500,480129.284877,86733.141183,3110.491071,1572159.465820,86979.931641,10886.718750
5,15m,0.004309,10.606563,232.069611,4.956430,0.566964,0.575949,2,10191,2502,7689,2502,32.539992,76561.199707,8376.899414,1410.644531,9570.149963,1047.112427,176.330566,23495.712891,1091.425781,470.214844
5,30m,0.004659,9.868325,214.631191,4.968327,0.566964,0.575949,2,5066,1228,3838,1228,31.995831,58781.100098,11632.700195,940.429688,9796.850016,1938.783366,156.738281,46901.425781,2002.851562,940.429688
5,1h,0.004914,9.431618,203.520683,4.935687,0.566964,0.575949,2,2512,591,1921,591,30.765226,304597.903320,30136.806641,5642.578125,38074.737915,3767.100830,705.322266,93712.851562,3825.703125,1880.859375
5,2h,0.004978,9.365667,200.869779,4.960769,0.566964,0.575949,2,1270,308,962,308,32.016632,421321.655762,51686.811523,7523.437500,60188.807966,7383.830218,1074.776786,187335.703125,7471.406250,3761.718750
5,4h,0.004984,9.511281,200.626751,4.985263,0.566964,0.575949,2,652,170,482,170,35.269710,842163.311523,102413.623047,15046.875000,120309.044503,14630.517578,2149.553571,374581.406250,14762.812500,7523.437500
5,8h,0.004976,9.625703,200.983781,5.002925,0.566964,0.575949,2,333,90,243,90,37.037037,3182023.800293,262583.100586,60187.500000,353558.200033,29175.900065,6687.500000,749072.812500,29345.625000,15046.875000
5,12h,0.004872,9.717971,205.262762,5.080312,0.566964,0.575949,2,226,63,163,63,38.650307,3649157.257812,349298.515625,67710.937500,456144.657227,43662.314453,8463.867188,1123564.218750,43928.437500,22570.312500
5,24h,0.005038,9.692686,198.475569,4.963315,0.566964,0.575949,2,115,32,83,32,38.554217,5050706.078125,609780.156250,90281.250000,721529.439732,87111.450893,12897.321429,2247038.437500,87676.875000,45140.625000
6,15m,0.001720,10.912120,581.328972,0.961011,0.758814,0.768910,3,10191,2494,7697,2494,32.402235,52979.954443,12195.808887,3823.081055,4414.996204,1016.317407,318.590088,8025.259424,1077.518848,571.289062
