Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
5,1h,0.004866,9.548683,205.486546,4.969975,0.566964,0.575949,2,12704,3110,9594,3110,24.496222,117172.200195,22485.400391,1880.859375,19528.700033,3747.566732,313.476562,93712.851562,3825.703125,1880.859375
5,2h,0.004985,9.359788,200.598432,4.963699,0.566964,0.575949,2,6341,1545,4796,1545,24.365242,608657.358887,59158.217773,11285.156250,76082.169861,7394.777222,1410.644531,187335.703125,7471.406250,3761.718750
5,4h,0.005041,9.221781,198.364212,4.967461,0.566964,0.575949,2,3154,755,2399,755,23.937857,842163.311523,102413.623047,15046.875000,120309.044503,14630.517578,2149.553571,374581.406250,14762.812500,7523.437500
5,8h,0.005103,9.173802,195.950547,4.944108,0.566964,0.575949,2,1577,375,1202,375,23.906151,2432950.987793,233237.475586,45140.625000,304118.873474,29154.684448,5642.578125,749072.812500,29345.625000,15046.875000
5,12h,0.005273,9.017057,189.643191,4.845581,0.566964,0.575949,2,1037,235,802,235,22.661524,7019849.914062,481083.828125,135421.875000,638168.174006,43734.893466,12311.079545,1123564.218750,43928.437500,22570.312500
5,24h,0.005277,9.016999,189.489689,4.848343,0.566964,0.575949,2,520,118,402,118,22.884615,2803667.640625,522103.281250,45140.625000,467277.940104,87017.213542,7523.437500,2247038.437500,87676.875000,45140.625000
6,15m,0.001711,10.961021,584.431311,0.958092,0.758814,0.768910,3,51159,12693,38466,12693,24.818702,47470.179053,9276.258105,2109.213867,5274.464339,1030.695345,234.357096,8025.259424,1077.518848,571.289062
6,30m,0.001866,10.078873,535.882756,0.957075,0.758814,0.768910,3,25594,6356,19238,6356,24.841760,87083.990918,13639.781836,1933.271484,12440.570131,1948.540262,276.181641,15960.518848,1975.037695,966.635742
6,1h,0.001961,9.589091,509.922404,0.958655,0.758814,0.768910,3,12721,3111,9610,3111,24.479208,202968.096069,41135.942139,12655.847168,18451.645097,3739.631104,1150.531561,31888.539575,3776.579150,2285.156250
6,2h,0.002010,9.356661,497.491184,0.957230,0.758814,0.768910,3,6345,1545,4800,1545,24.397163,391113.073755,73679.997510,20741.945801,39111.307375,7367.999751,2074.194580,63744.581030,7379.662061,4570.312500
6,4h,0.002040,9.202604,490.152597,0.954453,0.758814,0.768910,3,3162,756,2406,756,24.035421,810833.456812,160833.013623,49218.105469,73712.132437,14621.183057,4474.373224,127456.663940,14670.937500,9140.625000
6,8h,0.002055,9.131147,486.579583,0.955562,0.758814,0.768910,3,1580,374,1206,374,23.860759,1612778.579590,316231.659180,95824.584961,146616.234508,28748.332653,8711.325906,254823.327881,29281.875000,18281.250000
6,12h,0.002072,8.979224,482.539511,0.931797,0.758814,0.768910,3,1041,235,806,235,22.862632,2035132.274658,279667.549316,34955.195312,290733.182094,39952.507045,4993.599330,382247.493701,43802.208203,23203.017578
6,24h,0.002053,9.079480,486.975876,0.902842,0.758814,0.768910,3,531,125,406,125,23.917137,3852738.493555,448709.587109,9702.900391,642123.082259,74784.931185,1617.150065,764404.987402,86627.974805,9702.900391
7,15m,0.003589,10.358001,278.639738,2.213933,0.858948,0.877561,3,51097,12674,38423,12674,24.805762,11579.568359,9659.136719,2856.445312,1157.956836,965.913672,285.644531,1836.591797,973.183594,571.289062
7,30m,0.003906,9.771429,256.027216,2.214138,0.858948,0.877561,3,25498,6303,19195,6303,24.731351,8295.921875,11191.843750,1142.578125,1382.653646,1865.307292,190.429688,3643.183594,1886.367188,1142.578125
7,1h,0.004108,9.435970,243.413668,2.210763,0.858948,0.877561,3,12685,3088,9597,3088,24.351596,23677.730469,25755.460938,4570.312500,3382.532924,3679.351562,652.901786,7256.367188,3712.734375,2285.156250
7,2h,0.004191,9.280905,238.595300,2.208068,0.858948,0.877561,3,6337,1534,4803,1534,24.254379,165635.130859,51132.261719,5492.187500,23662.161551,7304.608817,784.598214,132972.404297,7406.808594,4570.312500
7,4h,0.004257,9.174835,234.891334,2.207773,0.858948,0.877561,3,3159,755,2404,755,23.931624,625912.670801,131054.241602,21969.531250,69545.852311,14561.582400,2441.059028,265911.114697,14670.937500,9140.625000
7,8h,0.004331,9.082664,230.916673,2.194129,0.858948,0.877561,3,1572,367,1205,367,23.600509,632907.727246,188317.554492,12813.417969,90415.389607,26902.507785,1830.488281,531732.229395,29093.358789,9125.136719
