data_transfer_rate_mbps,rate_dir,workflow_type,composition_number,event_throughput,wall_time_per_event,cpu_time_per_event,network_transfer_mb_per_event,cpu_utilization,memory_occupancy,total_groups,job_overhead_secs_mean,job_overhead_secs_std,job_overhead_cpu_time_mean,job_overhead_cpu_time_std,job_overhead_sample_count
1000,1GBps,case1_real,4,0.020437,7.360513,48.931393,4.674047,0.900128,0.728426,2,161.264222,47.280467,1024.674099,146.058060,172
1000,1GBps,case1_real,5,0.022525,7.358050,44.395710,2.028049,0.971774,0.945565,2,148.763292,94.167801,742.476196,252.510293,171
1000,1GBps,case1_real,6,0.018229,7.362604,54.858680,0.888672,0.930769,0.871154,3,171.683038,28.927200,1333.639521,343.346911,173
1000,1GBps,case1_real,7,0.020442,7.357516,48.919645,4.738679,0.932671,0.822369,3,143.364801,25.729726,950.882094,226.791810,173
1000,1GBps,case1_real,8,0.022534,7.353609,44.378316,2.091793,0.980874,0.965847,3,121.219614,64.454078,629.759708,148.941593,174
1000,1GBps,case1_real,9,0.020445,7.355633,48.912304,5.061309,0.816752,0.852284,3,132.746568,18.921298,908.409161,280.744342,173
1000,1GBps,case1_real,10,0.022542,7.349546,44.362415,2.406444,0.854167,0.983025,3,98.939603,38.472393,541.477127,71.694156,173
1000,1GBps,case1_real,11,0.022531,7.354844,44.383138,6.251887,0.970833,0.966667,3,128.865382,74.376372,661.180244,186.758593,173
1000,1GBps,case1_real,12,0.020743,7.355156,48.208319,5.124785,0.971939,0.889213,4,128.506473,19.868161,875.255913,325.920916,175
1000,1GBps,case1_real,13,0.022905,7.349130,43.658670,2.469921,1.000000,0.987269,4,94.886522,35.044495,510.968995,105.288071,176
1000,1GBps,case1_real,14,0.022537,7.351967,44.371870,6.316520,0.977564,0.977564,4,111.305003,52.787319,589.273369,110.292142,175
1000,1GBps,case1_real,15,0.022541,7.350023,44.364289,6.639149,0.890625,1.000000,4,100.465264,42.681050,545.914412,96.389272,175
1000,1GBps,case1_real,16,0.022904,7.349547,43.660304,6.702626,1.000000,1.000000,5,96.637840,39.767691,517.231763,122.712373,177
1000,1GBps,case2_homo,1,0.017444,7.383417,57.327466,0.449219,1.000000,1.000000,1,293.901643,35.729180,2351.213143,285.833442,170
1000,1GBps,case2_homo,2,0.017468,7.373241,57.248376,0.512695,1.000000,1.000000,2,232.945066,34.896347,1863.560524,279.170773,172
1000,1GBps,case2_homo,3,0.017492,7.363020,57.168902,0.825195,1.000000,1.000000,2,176.126836,21.683617,1409.014691,173.468940,171
1000,1GBps,case2_homo,4,0.017498,7.360513,57.149848,4.674047,1.000000,1.000000,2,161.264222,47.280467,1290.113779,378.243734,172
1000,1GBps,case2_homo,5,0.017503,7.358050,57.131445,2.028049,1.000000,1.000000,2,148.763292,94.167801,1190.106339,753.342410,171
1000,1GBps,case2_homo,6,0.017493,7.362604,57.165569,0.888672,1.000000,1.000000,3,171.683038,28.927200,1373.464304,231.417599,173
1000,1GBps,case2_homo,7,0.017505,7.357516,57.126352,4.738679,1.000000,1.000000,3,143.364801,25.729726,1146.918408,205.837808,173
1000,1GBps,case2_homo,8,0.017514,7.353609,57.096659,2.091793,1.000000,1.000000,3,121.219614,64.454078,969.756916,515.632621,174
1000,1GBps,case2_homo,9,0.017510,7.355633,57.111670,5.061309,1.000000,1.000000,3,132.746568,18.921298,1061.972542,151.370385,173
1000,1GBps,case2_homo,10,0.017524,7.349546,57.064855,2.406444,1.000000,1.000000,3,98.939603,38.472393,791.516827,307.779145,173
1000,1GBps,case2_homo,11,0.017511,7.354844,57.106302,6.251887,1.000000,1.000000,3,128.865382,74.376372,1030.923060,595.010972,173
1000,1GBps,case2_homo,12,0.017511,7.355156,57.107858,5.124785,1.000000,1.000000,4,128.506473,19.868161,1028.051784,158.945287,175
1000,1GBps,case2_homo,13,0.017525,7.349130,57.061523,2.469921,1.000000,1.000000,4,94.886522,35.044495,759.092180,280.355958,176
1000,1GBps,case2_homo,14,0.017518,7.351967,57.083766,6.316520,1.000000,1.000000,4,111.305003,52.787319,890.440023,422.298550,175
1000,1GBps,case2_homo,15,0.017523,7.350023,57.068603,6.639149,1.000000,1.000000,4,100.465264,42.681050,803.722109,341.448397,175
1000,1GBps,case2_homo,16,0.017524,7.349547,57.064791,6.702626,1.000000,1.000000,5,96.637840,39.767691,773.102721,318.141528,177
1000,1GBps,case3_hetero,1,0.002180,7.383417,458.619730,0.449219,0.264040,0.297781,1,293.901643,35.729180,18809.705147,2286.667537,170
1000,1GBps,case3_hetero,2,0.002198,7.373241,454.971817,0.512695,0.632755,0.649521,2,232.945066,34.896347,14820.143895,2658.080890,172
1000,1GBps,case3_hetero,3,0.002308,7.363020,433.252259,0.825195,0.638221,0.640865,2,176.126836,21.683617,10693.444280,2858.543640,171
1000,1GBps,case3_hetero,4,0.004814,7.358050,207.729269,2.028049,0.784274,0.812248,2,148.763292,94.167801,7198.938048,8069.407296,171
1000,1GBps,case3_hetero,5,0.005807,7.360513,172.208227,4.674047,0.566964,0.575949,2,161.264222,47.280467,5006.269302,6224.802556,172
1000,1GBps,case3_hetero,6,0.002308,7.362604,433.250593,0.888672,0.758814,0.768910,3,171.683038,28.927200,10560.190047,3095.490662,173
