Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
14,12h,0.006104,9.639714,163.817183,6.825332,0.957933,0.962139,4,170,47,27.647059,15652468.600000,1930311.500000,397383.149414,333031.246809,41070.457447,8454.960626,1149740.700000,43199.200000,23148.154297
14,18h,0.006378,9.488383,156.788639,6.693880,0.957933,0.962139,4,115,34,29.565217,14251488.400000,2134797.100000,381262.719727,419161.423529,62788.150000,11213.609404,1724637.000000,64799.900000,34722.753906
14,24h,0.006491,9.511814,154.049172,6.653289,0.957933,0.962139,4,90,23,25.555556,8919200.000000,1834236.800000,275129.787598,387791.304348,79749.426087,11962.164678,2299533.300000,86399.500000,46297.353516
15,1h,0.007386,9.022037,135.391213,7.041256,1.000000,0.993750,4,1926,458,23.779855,14638707.200000,1646958.300000,384394.238281,31962.242795,3595.978821,839.288730,115200.000000,3600.000000,2351.074219
15,6h,0.007518,9.397394,133.022215,7.086674,1.000000,0.993750,4,329,89,27.051672,12838182.400000,1887984.400000,384216.386719,144249.240449,21213.307865,4317.038053,691200.000000,21600.000000,14106.445312
15,12h,0.006938,9.555237,144.141650,7.223488,1.000000,0.993750,4,167,46,27.544910,19916866.400000,1920853.600000,469018.750000,432975.356522,41757.686957,10196.059783,1382400.000000,43200.000000,28212.890625
15,18h,0.007475,9.509763,133.775215,7.070971,1.000000,0.993750,4,114,33,28.947368,16365221.600000,2091375.200000,427111.335449,495915.806061,63375.006061,12942.767741,2073600.000000,64800.000000,42319.335938
15,24h,0.007637,9.270060,130.932914,6.905867,1.000000,0.993750,4,87,24,27.586207,14116921.600000,1851679.200000,356246.533203,588205.066667,77153.300000,14843.605550,2764800.000000,86400.000000,56425.781250
16,1h,0.007372,9.026416,135.651135,7.129641,1.000000,1.000000,5,1930,461,23.886010,14676510.900000,1651879.250000,394882.092285,31836.249241,3583.252169,856.577207,115200.000000,3600.000000,2351.074219
16,6h,0.007444,9.410301,134.344029,7.175814,1.000000,1.000000,5,335,90,26.865672,12873244.400000,1905515.400000,402692.724609,143036.048889,21172.393333,4474.363607,691200.000000,21600.000000,14106.445312
16,12h,0.007134,9.574134,140.173556,7.282013,1.000000,1.000000,5,172,50,29.069767,19358419.200000,1995102.000000,506357.285156,387168.384000,39902.040000,10127.145703,1382400.000000,43200.000000,28212.890625
16,18h,0.007595,9.472916,131.665435,7.133803,1.000000,1.000000,5,119,38,31.932773,14640830.700000,2182422.550000,478849.978027,385285.018421,57432.172368,12601.315211,2073600.000000,64800.000000,42319.335938
16,24h,0.007619,9.407963,131.251917,7.066976,1.000000,1.000000,5,92,25,27.173913,11627927.100000,1903181.950000,379690.393066,465117.084000,76127.278000,15187.615723,2764800.000000,86400.000000,56425.781250
